1728,3,FFFFFF
1729,4,FFFFFF
1730,9,FFFFFF
1731,4,FFFFFF
1733,4,FFFFFF
1734,7,FFFFFF
1735,4,FFFFFF
1736,2,FFFFFF
1737,3,FFFFFF
1738,3,FFFFFF
1740,7,FFFFFF
1741,13,FFFFFF
1742,4,FFFFFF
1743,12,FFFFFF
1744,7,FFFFFF
1745,9,FFFFFF
1746,5,FFFFFF
1747,9,FFFFFF
1748,13,FFFFFF
1749,13,FFFFFF
1750,12,FFFFFF
1751,1,FFFFFF
1752,3B,FFFFFF
1753,11,FFFFFF
1755,1,FFFFFF
1756,7B,FFFFFF
1757,7,FFFFFF
1758,11,FFFFFF
1759,5,FFFFFF
1760,3,FFFFFF
1761,11,FFFFFF
1762,9,FFFFFF
1763,6,FFFFFF
1764,4,FFFFFF
1765,3,FFFFFF
1766,3,FFFFFF
1767,5,FFFFFF
1772,5,FFFFFF
1773,1,FFFFFF
1774,7,FFFFFF
1779,3,FFFFFF
1780,6,FFFFFF
1781,6,FFFFFF
1782,12,FFFFFF
1783,3B,FFFFFF
1784,2,FFFFFF
1785,3,FFFFFF
1786,3,FFFFFF
1787,13,FFFFFF
1788,2,FFFFFF
1789,6,FFFFFF
1790,7,FFFFFF
1791,2,FFFFFF
1792,12,FFFFFF
1793,5,FFFFFF
1794,6,FFFFFF
1795,2,FFFFFF
1796,13,FFFFFF
1797,7B,FFFFFF
1798,11,FFFFFF
1799,13,FFFFFF
1800,7,FFFFFF
1802,3,FFFFFF
1803,1,FFFFFF
1804,9,FFFFFF
1805,7,FFFFFF
1806,7,FFFFFF
1808,7,FFFFFF
1811,10,FFFFFF
1812,2,FFFFFF
1814,9,FFFFFF
1816,9,FFFFFF
1817,10,FFFFFF
1818,10,FFFFFF
1819,9,FFFFFF
1820,13,FFFFFF
1822,2,FFFFFF
1824,4,FFFFFF
1825,6,FFFFFF
1826,12,FFFFFF
1827,13,FFFFFF
1828,4,FFFFFF
1832,1,FFFFFF
1833,2,FFFFFF
1834,6,FFFFFF
1836,6,FFFFFF
1841,12,FFFFFF
1842,12,FFFFFF
1843,5,FFFFFF
1844,9,FFFFFF
1845,4,FFFFFF
1846,3,FFFFFF
1847,7,FFFFFF
1849,7,FFFFFF
1854,7,FFFFFF
1855,4,FFFFFF
1856,1,FFFFFF
1858,13,FFFFFF
1860,7,FFFFFF
1861,7B,FFFFFF
1862,3,FFFFFF
1864,1,FFFFFF
1867,10,FFFFFF
1869,12,FFFFFF
1870,12,FFFFFF
1871,7,FFFFFF
1872,13,FFFFFF
1873,9,FFFFFF
